timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1656498819451,784,708,0,0,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656499019384,705,612,0,0,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656499219385,699,615,0,0,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656499419352,658,587,0,0,a8edef97-796c-4daa-b5f6-125486dd61fb
1656499619369,660,581,0,0,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656499819379,663,581,0,0,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656500019453,729,639,0,0,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656500219408,674,593,0,0,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656500419428,687,606,0,0,a8edef97-796c-4daa-b5f6-125486dd61fb
1656500619422,670,588,0,0,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656500819435,672,593,0,0,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656501019476,698,632,0,0,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656501219478,692,604,0,0,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656501419472,678,608,0,0,a8edef97-796c-4daa-b5f6-125486dd61fb
1656501619488,687,612,0,0,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656501819476,667,588,0,0,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656502019490,672,593,0,0,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656502219519,690,620,0,0,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
