timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1656494972122,33796,32120,1820,933,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656495242075,73743,70209,2489,1229,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656495546677,108336,103380,2753,1348,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656495877597,139011,132290,2745,1371,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656496229896,161297,153338,2731,1366,a8edef97-796c-4daa-b5f6-125486dd61fb
1656496619125,190516,180878,2819,1409,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656497045239,226618,215504,2781,1405,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656497482796,244163,232159,2834,1396,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656497950436,271793,258330,2722,1412,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656498444233,295577,281414,2898,1362,a8edef97-796c-4daa-b5f6-125486dd61fb
